"","LACT","BDAT","FDAT","TestDate","DIM","MILK","PCTF","PCTP"
"82984",1,2016-06-26,2018-05-26,2018-06-08,13,45,10,2.7
"82985",1,2016-06-26,2018-05-26,2018-07-06,41,73,2.5,2.9
"82986",1,2016-06-26,2018-05-26,2018-08-02,68,81,3,2.9
"82987",1,2016-06-26,2018-05-26,2018-09-10,107,81,2.5,2.7
"82988",1,2016-06-26,2018-05-26,2018-10-05,132,83,4,3.1
"82989",1,2016-06-26,2018-05-26,2018-11-09,167,81,2.1,3.1
"82990",1,2016-06-26,2018-05-26,2018-12-07,195,80,3.2,3.1
"82991",1,2016-06-26,2018-05-26,2019-01-07,226,72,3.1,3
"82992",1,2016-06-26,2018-05-26,2019-02-04,254,79,2.7,3.1
"82993",1,2016-06-26,2018-05-26,2019-03-05,283,71,2.5,3.3
"82994",1,2016-06-26,2018-05-26,2019-04-01,310,69,3.3,3
"82995",1,2016-06-26,2018-05-26,2019-05-07,346,69,3.7,3
"82996",1,2016-06-26,2018-05-26,2019-06-07,377,65,2.8,3
"82997",1,2016-06-26,2018-05-26,2019-07-05,405,61,4,3.2
